0,1,2,3
Oyebode John,Alvarez Mario,4:0,1:0
Amaya Juan,Adeyinka Hammed,4:0,1:0
Gombos Ludovic,Caballero Carlos,0:4,0:1
Galvez Samuel,Zelinka Jakub,2:4,0:1
Zahoor Faizan,Yu Di,0:4,0:1
Levinski Mishel,Olasoji Yinka,4:0,1:0
Aida Satoshi,Vila Isaac,4:2,1:0
Ng Pak Nam,Bardet Lilian,3:4,0:1
Kreanga Kalinikos,Toledo Claudinei,4:0,1:0
Thakkar Manav Vikash,Kreanga Kalinikos,4:0,1:0
Arriaga Carlo,Pinto Daniele,0:4,0:1
Darley Eduardo,Dani Mudit,2:4,0:1
Bobocica Mihai,Zhao Boyun,4:1,1:0
Oyebode John,Stumper Kay,4:3,1:2
Gauzy Simon,Amaya Juan,4:0,1:0
Pistej Lubomir,Zelinka Jakub,4:1,1:0
Levinski Mishel,Shah Manush Utpalbhai,1:4,0:1
Ly Edward,Gomez Juan Jesus,4:1,2:0
Aida Satoshi,Liang Jishan,4:2,1:0
Bardet Lilian,Robles Alvaro,4:2,1:0
Meissner Cedric,Lu Changbo,4:0,1:0
Glod Eric,Ji Max,4:1,1:0
Yu Di,Madrid Marcos,0:4,0:1
Gonzalez Daniel,Caballero Carlos,4:1,1:1
Sareen Aditya,Mena Sigler Brian,0:4,0:1
Mena Sigler Brian,Bardet Lilian,0:4,0:1
Bobocica Mihai,Oyebode John,4:2,1:0
Meissner Cedric,Madrid Marcos,3:4,0:2
Gonzalez Daniel,Pinto Daniele,2:4,0:1
Gauzy Simon,Dani Mudit,4:0,1:0
Glod Eric,Shah Manush Utpalbhai,2:4,0:1
Pistej Lubomir,Aida Satoshi,1:4,0:2
Thakkar Manav Vikash,Ly Edward,4:1,1:0
Gauzy Simon,Bobocica Mihai,4:0,1:1
Pinto Daniele,Madrid Marcos,1:4,0:1
Thakkar Manav Vikash,Bardet Lilian,2:4,0:2
Aida Satoshi,Shah Manush Utpalbhai,4:1,1:0
Gauzy Simon,Madrid Marcos,4:0,1:0
Aida Satoshi,Bardet Lilian,4:1,1:0
Gauzy Simon,Aida Satoshi,3:4,0:1
Putuntica Andrei,Seyfried Joe,0:3,0:2
Nunez Miguel,Limonov Anton,3:2,1:0
Caballero Carlos,Glod Eric,1:3,0:1
Chambers Dillon,Oyebode John,2:3,0:1
Gombos Ludovic,Kwan Man Ho,0:3,0:1
Hamada Kazuki,Puppo Andrea,3:1,1:0
Hribar Peter,Ursu Vladislav,0:3,0:1
Riofrio Emiliano,Vilardell Albert,1:3,0:1
Klajber Adam,Giovannetti Tommaso,2:3,3:1
Zelinka Jakub,Sanchi Francisco,2:3,0:1
Pinto Daniele,Chandra Jeet,3:2,2:0
Gacev Aleksa,Huang Yan-Cheng,0:3,0:1
Mladenovic Luka,Koldas Tomas,3:1,1:0
Karam Salim,Helmy Mahmoud,0:3,0:1
Pons Arnau,Masip Joan,1:3,0:1
Zhmudenko Yaroslav,Seyfried Joe,3:2,2:0
Gerassimenko Timofey,Redzimski Milosz,3:0,1:0
Gomez Gustavo,Nunez Miguel,3:0,1:0
Glod Eric,Kim Taehyun,3:2,1:0
Jin Takuya,Oyebode John,3:0,1:0
Kwan Man Ho,Ban Ivor,2:3,0:1
Al-Samhoury Tarek,Hamada Kazuki,0:3,0:1
Ursu Vladislav,Li Hon Ming,3:0,1:0
Chen Alexander,Vilardell Albert,0:3,0:1
Giovannetti Tommaso,Levajac Dimitrije,3:2,1:2
Piccolin Jordy,Sanchi Francisco,1:3,0:1
Pinto Daniele,Serdaroglu David,1:3,0:2
Burgos Nicolas,Huang Yan-Cheng,0:3,0:1
Mladenovic Luka,Shetty Sanil,1:3,0:1
Martinko Jiri,Helmy Mahmoud,3:1,2:0
Masip Joan,Kozul Deni,1:3,0:1
Cho Daeseong,Ursu Vladislav,0:4,0:1
Meng Fanbo,Chen Chien-An,4:3,1:0
Kulczycki Samuel,Hagihara Keishi,3:4,0:1
Zhmudenko Yaroslav,Giovannetti Tommaso,4:1,1:0
Suravajjula Snehit,Shah Manush Utpalbhai,2:4,0:2
Stumper Kay,Polansky Tomas,4:1,1:0
Walker Samuel,Kozul Deni,3:4,1:1
Gionis Panagiotis,Levenko Andreas,4:0,1:0
Gomez Gustavo,Oehme Benno,4:3,1:0
Assar Khalid,Dixon Xavier,4:2,1:0
Hamada Kazuki,Ursu Vladislav,0:3,0:1
Alto Gaston,Ban Ivor,4:1,1:0
Jin Takuya,Ban Ivor,2:3,0:1
Thakkar Manav Vikash,Serdaroglu David,4:0,1:1
Gomez Gustavo,Glod Eric,3:1,1:0
Yoshiyama Kazuki,Kubik Maciej,1:4,0:1
Zhmudenko Yaroslav,Gerassimenko Timofey,3:0,1:0
Meissner Cedric,Hippler Tobias,4:0,1:2
Martinko Jiri,Kozul Deni,0:3,0:2
Mati Taiwo,Ho Kwan Kit,3:4,0:1
Huang Yan-Cheng,Shetty Sanil,3:2,1:0
Huang Yan-Cheng,Kang Dongsoo,2:4,0:1
Sanchi Francisco,Serdaroglu David,2:3,0:1
Vilardell Albert,Giovannetti Tommaso,0:3,0:1
Drinkhall Paul,Robles Alvaro,3:4,1:1
Ovtcharov Dimitrij,Meng Fanbo,4:2,1:0
Ovtcharov Dimitrij,Ursu Vladislav,4:3,1:0
Kozul Deni,Gionis Panagiotis,0:4,0:2
Liao Cheng-Ting,Duda Benedikt,0:4,0:2
Apolonia Tiago,Assar Khalid,4:0,1:0
Akkuzu Can,Filus Ruwen,4:1,1:3
Meng Fanbo,Bouloussa Mehdi,4:2,2:0
Ort Kilian,Walther Ricardo,4:1,1:0
Thakkar Manav Vikash,Duda Benedikt,0:4,0:1
Drinkhall Paul,Hagihara Keishi,4:3,1:0
Assar Omar,Shah Manush Utpalbhai,4:2,1:0
Zhmudenko Yaroslav,Robles Alvaro,0:4,0:3
Mino Alberto,Kozul Deni,0:4,0:1
Gionis Panagiotis,Feng Yi-Hsin,4:3,2:0
Apolonia Tiago,Gomez Gustavo,4:2,1:0
Assar Khalid,Ishiy Vitor,4:3,2:0
Ort Kilian,Kubik Maciej,4:3,1:0
Stumper Kay,Zeljko Filip,4:0,1:0
Meissner Cedric,Walther Ricardo,1:4,0:1
Ovtcharov Dimitrij,Robles Alvaro,4:2,2:0
Liao Cheng-Ting,Alto Gaston,4:2,1:0
Assar Omar,Gionis Panagiotis,0:4,0:2
Akkuzu Can,Ho Kwan Kit,4:1,3:1
Apolonia Tiago,Duda Benedikt,1:4,0:1
Kang Dongsoo,Filus Ruwen,0:4,0:1
Ort Kilian,Akkuzu Can,3:4,0:5
Duda Benedikt,Akkuzu Can,4:0,2:0
Ovtcharov Dimitrij,Gionis Panagiotis,4:3,9:0
Ovtcharov Dimitrij,Duda Benedikt,4:0,1:0
