0,1,2,3,4,5,6,7,8,9
Fan Zhendong,https://tabletennis.guide/ittfplayer/portrait/zhendong-fan-121404.jpg?uin=1680535340,1,7759.34,China,26,right,shakehand,1,attack
Harimoto Tomokazu,https://tabletennis.guide/ittfplayer/portrait/tomokazu-harimoto-123980.jpg?uin=1680535346,2,3551.12,Japan,20,right,shakehand,2,attack
Ma Long,https://tabletennis.guide/ittfplayer/portrait/long-ma-105649.jpg?uin=1680535351,3,4442.93,China,35,right,shakehand,3,attack
Wang Chuqin,https://tabletennis.guide/ittfplayer/portrait/chuqin-wang-121558.jpg?uin=1680535356,4,2989.81,China,23,left,shakehand,4,attack
Moregard Truls,https://tabletennis.guide/ittfplayer/portrait/truls-moregard-122044.jpg?uin=1680535361,5,2980.88,Sweden,21,right,shakehand,5,attack
Liang Jingkun,https://tabletennis.guide/ittfplayer/portrait/jingkun-liang-119588.jpg?uin=1680535366,6,3280.97,China,27,right,shakehand,6,attack
Calderano Hugo,https://tabletennis.guide/ittfplayer/portrait/hugo-calderano-115641.jpg?uin=1680535372,7,3374.0,Brazil,27,right,shakehand,7,attack
Lin Yun-Ju,https://tabletennis.guide/ittfplayer/portrait/yun-ju-lin-121582.jpg?uin=1680535377,8,2660.85,Taiwan,22,left,shakehand,8,attack
Ovtcharov Dimitrij,https://tabletennis.guide/ittfplayer/portrait/dimitrij-ovtcharov-107028.jpg?uin=1680535382,9,2444.42,Germany,35,right,shakehand,9,attack
Jorgic Darko,https://tabletennis.guide/ittfplayer/portrait/darko-jorgic-118927.jpg?uin=1680535387,10,2360.93,Slovenia,25,right,shakehand,10,attack
Qiu Dang,https://tabletennis.guide/ittfplayer/portrait/dang-qiu-114715.jpg?uin=1680535393,11,1881.66,Germany,27,right,penhold,11,attack
Boll Timo,https://tabletennis.guide/ittfplayer/portrait/timo-boll-101222.jpg?uin=1680535398,12,2010.49,Germany,42,left,shakehand,12,attack
Lin Gaoyuan,https://tabletennis.guide/ittfplayer/portrait/gaoyuan-lin-115910.jpg?uin=1680535403,13,1987.64,China,28,left,shakehand,13,attack
Franziska Patrick,https://tabletennis.guide/ittfplayer/portrait/patrick-franziska-102832.jpg?uin=1680535408,14,1946.39,Germany,31,right,shakehand,14,attack
Aruna Quadri,https://tabletennis.guide/ittfplayer/portrait/quadri-aruna-112092.jpg?uin=1680535414,15,1990.29,Nigeria,35,right,shakehand,15,attack
Lim Jonghoon,https://tabletennis.guide/ittfplayer/portrait/jonghoon-lim-117357.jpg?uin=1680535419,16,1302.59,Korea,26,left,shakehand,16,attack
Chuang Chih-Yuan,https://tabletennis.guide/ittfplayer/portrait/chih-yuan-chuang-101820.jpg?uin=1680535424,17,1492.47,Taiwan,42,right,shakehand,17,attack
Jang Woojin,https://tabletennis.guide/ittfplayer/portrait/woojin-jang-114936.jpg?uin=1680535430,18,1366.34,Korea,28,right,shakehand,18,attack
Karlsson Kristian,https://tabletennis.guide/ittfplayer/portrait/kristian-karlsson-104379.jpg?uin=1680535435,19,1362.88,Sweden,32,left,shakehand,19,attack
Filus Ruwen,https://tabletennis.guide/ittfplayer/portrait/ruwen-filus-102761.jpg?uin=1680535440,20,1057.24,Germany,35,right,shakehand,20,defence
Kallberg Anton,https://tabletennis.guide/ittfplayer/portrait/anton-kallberg-116853.jpg?uin=1680535445,21,1610.24,Sweden,26,right,shakehand,21,attack
Jha Kanak,https://tabletennis.guide/ittfplayer/portrait/kanak-jha-116021.jpg?uin=1680535450,22,1513.61,USA,23,right,shakehand,22,attack
Uda Yukiya,https://tabletennis.guide/ittfplayer/portrait/yukiya-uda-122777.jpg?uin=1680535455,23,1122.78,Japan,22,left,shakehand,23,attack
Pitchford Liam,https://tabletennis.guide/ittfplayer/portrait/liam-pitchford-112442.jpg?uin=1680535459,24,1431.66,England,30,right,shakehand,24,attack
Lee Sangsu,https://tabletennis.guide/ittfplayer/portrait/sangsu-lee-105197.jpg?uin=1680535464,25,1297.08,Korea,33,right,shakehand,25,attack
Assar Omar,https://tabletennis.guide/ittfplayer/portrait/omar-assar-100696.jpg?uin=1680535470,26,1191.93,Egypt,32,right,shakehand,26,attack
Gacina Andrej,https://tabletennis.guide/ittfplayer/portrait/andrej-gacina-102891.jpg?uin=1680535475,27,1069.85,Croatia,37,right,shakehand,27,attack
Lebrun Alexis,https://tabletennis.guide/ittfplayer/portrait/alexis-lebrun-132992.jpg?uin=1680535481,28,517.03,France,20,right,shakehand,28,attack
Shinozuka Hiroto,https://tabletennis.guide/ittfplayer/portrait/hiroto-shinozuka-134442.jpg?uin=1680535486,29,577.05,Japan,20,left,shakehand,29,attack
Wong Chun Ting,https://tabletennis.guide/ittfplayer/portrait/chun-ting-wong-112620.jpg?uin=1680535491,30,1201.58,Kong,32,right,penhold,30,attack
Gauzy Simon,https://tabletennis.guide/ittfplayer/portrait/simon-gauzy-112062.jpg?uin=1680535496,31,1197.83,France,29,right,shakehand,31,attack
Falck Mattias,https://tabletennis.guide/ittfplayer/portrait/mattias-falck-112074.jpg?uin=1680535501,32,1134.0,Sweden,32,right,shakehand,32,attack
Gerassimenko Kirill,https://tabletennis.guide/ittfplayer/portrait/kirill-gerassimenko-117890.jpg?uin=1680535506,33,992.27,Kazakhstan,27,right,shakehand,33,attack
Duda Benedikt,https://tabletennis.guide/ittfplayer/portrait/benedikt-duda-116620.jpg?uin=1680535511,34,891.0,Germany,29,left,shakehand,34,attack
Freitas Marcos,https://tabletennis.guide/ittfplayer/portrait/marcos-freitas-102841.jpg?uin=1680535516,35,1002.64,Portugal,35,left,shakehand,35,attack
Xiang Peng,https://tabletennis.guide/ittfplayer/portrait/peng-xiang-135888.jpg?uin=1680535522,36,876.85,China,20,right,shakehand,36,attack
Yuan Licen,https://tabletennis.guide/ittfplayer/portrait/licen-yuan-133848.jpg?uin=1680535528,37,546.64,China,23,right,shakehand,37,attack
Wang Yang,https://tabletennis.guide/ittfplayer/portrait/yang-wang-112735.jpg?uin=1680535536,38,1223.14,Slovakia,29,right,shakehand,38,defence
Gnanasekaran Sathiyan,https://tabletennis.guide/ittfplayer/portrait/sathiyan-gnanasekaran-103126.jpg?uin=1680535542,39,1231.44,India,30,right,shakehand,39,attack
Persson Jon,https://tabletennis.guide/ittfplayer/portrait/jon-persson-107312.jpg?uin=1680535548,40,1114.58,Sweden,37,right,shakehand,40,attack
Gardos Robert,https://tabletennis.guide/ittfplayer/portrait/robert-gardos-102968.jpg?uin=1680535554,41,1350.03,Austria,44,right,shakehand,41,attack
Zhou Qihao,https://tabletennis.guide/ittfplayer/portrait/qihao-zhou-119533.jpg?uin=1680535560,42,723.42,China,26,right,shakehand,42,attack
Lum Nicholas,https://tabletennis.guide/ittfplayer/portrait/nicholas-lum-134800.jpg?uin=1680535566,43,181.51,Australia,18,right,shakehand,43,attack
Achanta Sharath Kamal,https://tabletennis.guide/ittfplayer/portrait/sharath-kamal-achanta-104314.jpg?uin=1680535571,44,1227.85,India,41,right,shakehand,44,attack
Pucar Tomislav,https://tabletennis.guide/ittfplayer/portrait/tomislav-pucar-116532.jpg?uin=1680535577,45,1160.68,Croatia,27,right,shakehand,45,attack
Togami Shunsuke,https://tabletennis.guide/ittfplayer/portrait/shunsuke-togami-133694.jpg?uin=1680535583,46,823.0,Japan,22,right,shakehand,46,attack
Lin Shidong,https://tabletennis.guide/ittfplayer/portrait/shidong-lin-137237.jpg?uin=1680535589,47,453.05,China,18,right,shakehand,47,attack
Lebesson Emmanuel,https://tabletennis.guide/ittfplayer/portrait/emmanuel-lebesson-105136.jpg?uin=1680535595,48,1137.53,France,35,left,shakehand,48,attack
An Jaehyun,https://tabletennis.guide/ittfplayer/portrait/jaehyun-an-121514.jpg?uin=1680535601,49,1040.98,Korea,24,right,shakehand,49,attack
